x,y,psi,v_ref,s
1.685715,1.405923,2.721840,1.500000,14.700842
1.661083,1.416565,2.745765,1.500000,14.727674
1.636271,1.426585,2.769820,1.500000,14.754433
1.611290,1.435979,2.794001,1.500000,14.781123
1.586150,1.444744,2.818301,1.500000,14.807747
1.560862,1.452875,2.842714,1.500000,14.834309
1.535439,1.460368,2.867233,1.500000,14.860814
1.509890,1.467221,2.891850,1.500000,14.887266
1.484227,1.473431,2.916558,1.500000,14.913670
1.458461,1.478994,2.941348,1.500000,14.940029
1.432604,1.483908,2.966213,1.500000,14.966349
1.406667,1.488172,2.991143,1.500000,14.992635
1.380661,1.491783,3.016130,1.500000,15.018890
1.354597,1.494739,3.041165,1.500000,15.045121
1.328488,1.497040,3.066238,1.500000,15.071331
1.302345,1.498684,3.091340,1.500000,15.097526
1.276178,1.499671,3.116462,1.500000,15.123711
1.250000,1.500000,-3.141593,1.500000,15.149891
1.223822,1.499671,-3.116462,1.500000,15.176071
1.197655,1.498684,-3.091340,1.500000,15.202257
1.171512,1.497040,-3.066238,1.500000,15.228452
1.145403,1.494739,-3.041165,1.500000,15.254662
1.119339,1.491783,-3.016130,1.500000,15.280893
1.093333,1.488172,-2.991143,1.500000,15.307148
1.067396,1.483908,-2.966213,1.500000,15.333433
1.041539,1.478994,-2.941348,1.500000,15.359753
1.015773,1.473431,-2.916558,1.500000,15.386113
